year,round,circuit_id,location,sc_count,vsc_count
2011,8,valencia,valencia,0.5,0.3
2012,8,valencia,valencia,0.5,0.3
2010,10,silverstone,silverstone,0.5,0.3
2011,9,silverstone,silverstone,0.5,0.3
2012,9,silverstone,silverstone,0.5,0.3
2013,8,silverstone,silverstone,0.5,0.3
2014,9,silverstone,silverstone,0.5,0.3
2015,9,silverstone,silverstone,0.5,0.3
2016,10,silverstone,silverstone,0.5,0.3
2017,10,silverstone,silverstone,0.5,0.3
2018,10,silverstone,silverstone,0.5,0.3
2019,10,silverstone,silverstone,0.5,0.3
2020,4,silverstone,silverstone,0.5,0.3
2020,5,silverstone,silverstone,0.5,0.3
2021,10,silverstone,silverstone,0.5,0.3
2022,10,silverstone,silverstone,0.5,0.3
2023,10,silverstone,silverstone,0.5,0.3
2024,12,silverstone,silverstone,0.5,0.3
2025,12,silverstone,silverstone,0.5,0.3
2010,11,hockenheimring,hockenheimring,0.5,0.3
2012,10,hockenheimring,hockenheimring,0.5,0.3
2014,10,hockenheimring,hockenheimring,0.5,0.3
2016,12,hockenheimring,hockenheimring,0.5,0.3
2018,11,hockenheimring,hockenheimring,0.5,0.3
2019,11,hockenheimring,hockenheimring,0.5,0.3
2010,12,hungaroring,hungaroring,0.5,0.3
2011,11,hungaroring,hungaroring,0.5,0.3
2012,11,hungaroring,hungaroring,0.5,0.3
2013,10,hungaroring,hungaroring,0.5,0.3
2014,11,hungaroring,hungaroring,0.5,0.3
2015,10,hungaroring,hungaroring,0.5,0.3
2016,11,hungaroring,hungaroring,0.5,0.3
2017,11,hungaroring,hungaroring,0.5,0.3
2018,12,hungaroring,hungaroring,0.5,0.3
2019,12,hungaroring,hungaroring,0.5,0.3
2020,3,hungaroring,hungaroring,0.5,0.3
2021,11,hungaroring,hungaroring,0.5,0.3
2022,13,hungaroring,hungaroring,0.5,0.3
2023,11,hungaroring,hungaroring,0.5,0.3
2024,13,hungaroring,hungaroring,0.5,0.3
2025,14,hungaroring,hungaroring,0.5,0.3
2010,13,spa,spa,0.5,0.3
2011,12,spa,spa,0.5,0.3
2012,12,spa,spa,0.5,0.3
2013,11,spa,spa,0.5,0.3
2014,12,spa,spa,0.5,0.3
2015,11,spa,spa,0.5,0.3
2016,13,spa,spa,0.5,0.3
2017,12,spa,spa,0.5,0.3
2018,13,spa,spa,0.5,0.3
2019,13,spa,spa,0.5,0.3
2020,7,spa,spa,0.5,0.3
2021,12,spa,spa,0.5,0.3
2022,14,spa,spa,0.5,0.3
2023,12,spa,spa,0.5,0.3
2024,14,spa,spa,0.5,0.3
2025,13,spa,spa,0.5,0.3
2010,14,monza,monza,0.5,0.3
2011,13,monza,monza,0.5,0.3
2012,13,monza,monza,0.5,0.3
2013,12,monza,monza,0.5,0.3
2014,13,monza,monza,0.5,0.3
2015,12,monza,monza,0.5,0.3
2016,14,monza,monza,0.5,0.3
2017,13,monza,monza,0.5,0.3
2018,14,monza,monza,0.5,0.3
2019,14,monza,monza,0.5,0.3
2020,8,monza,monza,0.5,0.3
2021,14,monza,monza,0.5,0.3
2022,16,monza,monza,0.5,0.3
2023,14,monza,monza,0.5,0.3
2024,16,monza,monza,0.5,0.3
2025,16,monza,monza,0.5,0.3
2010,15,marina_bay,marina_bay,0.5,0.3
2011,14,marina_bay,marina_bay,0.5,0.3
2012,14,marina_bay,marina_bay,0.5,0.3
2013,13,marina_bay,marina_bay,0.5,0.3
2014,14,marina_bay,marina_bay,0.5,0.3
2015,13,marina_bay,marina_bay,0.5,0.3
2016,15,marina_bay,marina_bay,0.5,0.3
2017,14,marina_bay,marina_bay,0.5,0.3
2018,15,marina_bay,marina_bay,0.5,0.3
2019,15,marina_bay,marina_bay,0.5,0.3
2022,17,marina_bay,marina_bay,0.5,0.3
2023,15,marina_bay,marina_bay,0.5,0.3
2024,18,marina_bay,marina_bay,0.5,0.3
2025,18,marina_bay,marina_bay,0.5,0.3
2010,16,suzuka,suzuka,0.5,0.3
2011,15,suzuka,suzuka,0.5,0.3
2012,15,suzuka,suzuka,0.5,0.3
2013,15,suzuka,suzuka,0.5,0.3
2014,15,suzuka,suzuka,0.5,0.3
2015,14,suzuka,suzuka,0.5,0.3
2016,17,suzuka,suzuka,0.5,0.3
2017,16,suzuka,suzuka,0.5,0.3
2018,17,suzuka,suzuka,0.5,0.3
2019,17,suzuka,suzuka,0.5,0.3
2022,18,suzuka,suzuka,0.5,0.3
2023,16,suzuka,suzuka,0.5,0.3
2024,4,suzuka,suzuka,0.5,0.3
2025,3,suzuka,suzuka,0.5,0.3
2010,17,yeongam,yeongam,0.5,0.3
2011,16,yeongam,yeongam,0.5,0.3
2012,16,yeongam,yeongam,0.5,0.3
2013,14,yeongam,yeongam,0.5,0.3
2010,18,interlagos,interlagos,0.5,0.3
2011,19,interlagos,interlagos,0.5,0.3
2012,20,interlagos,interlagos,0.5,0.3
2013,19,interlagos,interlagos,0.5,0.3
2014,18,interlagos,interlagos,0.5,0.3
2015,18,interlagos,interlagos,0.5,0.3
2016,20,interlagos,interlagos,0.5,0.3
2017,19,interlagos,interlagos,0.5,0.3
2018,20,interlagos,interlagos,0.5,0.3
2019,20,interlagos,interlagos,0.5,0.3
2021,19,interlagos,interlagos,0.5,0.3
2022,21,interlagos,interlagos,0.5,0.3
2023,20,interlagos,interlagos,0.5,0.3
2024,21,interlagos,interlagos,0.5,0.3
2025,21,interlagos,interlagos,0.5,0.3
2010,19,yas_marina,yas_marina,0.5,0.3
2011,18,yas_marina,yas_marina,0.5,0.3
2012,18,yas_marina,yas_marina,0.5,0.3
2013,17,yas_marina,yas_marina,0.5,0.3
2014,19,yas_marina,yas_marina,0.5,0.3
2015,19,yas_marina,yas_marina,0.5,0.3
2016,21,yas_marina,yas_marina,0.5,0.3
2017,20,yas_marina,yas_marina,0.5,0.3
2018,21,yas_marina,yas_marina,0.5,0.3
2019,21,yas_marina,yas_marina,0.5,0.3
2020,17,yas_marina,yas_marina,0.5,0.3
2021,22,yas_marina,yas_marina,0.5,0.3
2022,22,yas_marina,yas_marina,0.5,0.3
2023,22,yas_marina,yas_marina,0.5,0.3
2024,24,yas_marina,yas_marina,0.5,0.3
2025,24,yas_marina,yas_marina,0.5,0.3
2011,10,nurburgring,nurburgring,0.5,0.3
2013,9,nurburgring,nurburgring,0.5,0.3
2020,11,nurburgring,nurburgring,0.5,0.3
2011,17,buddh,buddh,0.5,0.3
2012,17,buddh,buddh,0.5,0.3
2013,16,buddh,buddh,0.5,0.3
2012,19,americas,americas,0.5,0.3
2013,18,americas,americas,0.5,0.3
2014,17,americas,americas,0.5,0.3
2015,16,americas,americas,0.5,0.3
2016,18,americas,americas,0.5,0.3
2017,17,americas,americas,0.5,0.3
2018,18,americas,americas,0.5,0.3
2019,19,americas,americas,0.5,0.3
2021,17,americas,americas,0.5,0.3
2022,19,americas,americas,0.5,0.3
2023,18,americas,americas,0.5,0.3
2024,19,americas,americas,0.5,0.3
2025,19,americas,americas,0.5,0.3
2014,8,red_bull_ring,red_bull_ring,0.5,0.3
2015,8,red_bull_ring,red_bull_ring,0.5,0.3
2016,9,red_bull_ring,red_bull_ring,0.5,0.3
2017,9,red_bull_ring,red_bull_ring,0.5,0.3
2018,9,red_bull_ring,red_bull_ring,0.5,0.3
2019,9,red_bull_ring,red_bull_ring,0.5,0.3
2020,1,red_bull_ring,red_bull_ring,0.5,0.3
2020,2,red_bull_ring,red_bull_ring,0.5,0.3
2021,8,red_bull_ring,red_bull_ring,0.5,0.3
2021,9,red_bull_ring,red_bull_ring,0.5,0.3
2022,11,red_bull_ring,red_bull_ring,0.5,0.3
2023,9,red_bull_ring,red_bull_ring,0.5,0.3
2024,11,red_bull_ring,red_bull_ring,0.5,0.3
2025,11,red_bull_ring,red_bull_ring,0.5,0.3
2014,16,sochi,sochi,0.5,0.3
2015,15,sochi,sochi,0.5,0.3
2016,4,sochi,sochi,0.5,0.3
2017,4,sochi,sochi,0.5,0.3
2018,16,sochi,sochi,0.5,0.3
2019,16,sochi,sochi,0.5,0.3
2020,10,sochi,sochi,0.5,0.3
2021,15,sochi,sochi,0.5,0.3
2015,17,rodriguez,rodriguez,0.5,0.3
2016,19,rodriguez,rodriguez,0.5,0.3
2017,18,rodriguez,rodriguez,0.5,0.3
2018,19,rodriguez,rodriguez,0.5,0.3
2019,18,rodriguez,rodriguez,0.5,0.3
2021,18,rodriguez,rodriguez,0.5,0.3
2022,20,rodriguez,rodriguez,0.5,0.3
2023,19,rodriguez,rodriguez,0.5,0.3
2024,20,rodriguez,rodriguez,0.5,0.3
2025,20,rodriguez,rodriguez,0.5,0.3
2016,8,baku,baku,0.5,0.3
2017,8,baku,baku,0.5,0.3
2018,4,baku,baku,0.5,0.3
2019,4,baku,baku,0.5,0.3
2021,6,baku,baku,0.5,0.3
2022,8,baku,baku,0.5,0.3
2023,4,baku,baku,0.5,0.3
2024,17,baku,baku,0.5,0.3
2025,17,baku,baku,0.5,0.3
2018,8,ricard,ricard,0.5,0.3
2019,8,ricard,ricard,0.5,0.3
2021,7,ricard,ricard,0.5,0.3
2022,12,ricard,ricard,0.5,0.3
2020,9,mugello,mugello,0.5,0.3
2020,12,portimao,portimao,0.5,0.3
2021,3,portimao,portimao,0.5,0.3
2020,13,imola,imola,0.5,0.3
2021,2,imola,imola,0.5,0.3
2022,4,imola,imola,0.5,0.3
2024,7,imola,imola,0.5,0.3
2025,7,imola,imola,0.5,0.3
2021,13,zandvoort,zandvoort,0.5,0.3
2022,15,zandvoort,zandvoort,0.5,0.3
2023,13,zandvoort,zandvoort,0.5,0.3
2024,15,zandvoort,zandvoort,0.5,0.3
2025,15,zandvoort,zandvoort,0.5,0.3
2021,20,losail,losail,0.5,0.3
2023,17,losail,losail,0.5,0.3
2024,23,losail,losail,0.5,0.3
2025,23,losail,losail,0.5,0.3
2021,21,jeddah,jeddah,0.5,0.3
2022,2,jeddah,jeddah,0.5,0.3
2023,2,jeddah,jeddah,0.5,0.3
2024,2,jeddah,jeddah,0.5,0.3
2025,5,jeddah,jeddah,0.5,0.3
2022,5,miami,miami,0.5,0.3
2023,5,miami,miami,0.5,0.3
2024,6,miami,miami,0.5,0.3
2025,6,miami,miami,0.5,0.3
2023,21,vegas,vegas,0.5,0.3
2024,22,vegas,vegas,0.5,0.3
2025,22,vegas,vegas,0.5,0.3
